PERMNO,date,VOL,RET,BID,ASK
25785,2008-03-17,69822900,-0.034026,5.11000,5.12000
25785,2008-03-18,76806900,0.035225,5.27000,5.28000
25785,2008-03-19,71484400,0.030246,5.44000,5.45000
25785,2008-03-20,175819200,0.031193,5.60000,5.61000
25785,2008-03-24,55208500,0.060498,5.95000,5.96000
25785,2008-03-25,56611800,0.006711,6.01000,6.02000
25785,2008-03-26,57327400,-0.021667,5.86000,5.87000
25785,2008-03-27,61719800,-0.006814,5.82000,5.83000
25785,2008-03-28,39701900,-0.041166,5.58000,5.59000
25785,2008-03-31,42294600,0.023256,5.70000,5.71000
25785,2008-04-01,55328500,0.043706,5.96000,5.97000
25785,2008-04-02,65244500,0.026801,6.14000,6.15000
25785,2008-04-03,67737000,0.053834,6.45000,6.46000
25785,2008-04-04,66864200,0.004644,6.49000,6.50000
25785,2008-04-07,70089600,0.036980,6.74000,6.75000
25785,2008-04-08,111113700,0.026746,6.92000,6.94000
25785,2008-04-09,55199600,-0.027496,6.71000,6.72000
25785,2008-04-10,47469200,0.002976,6.74000,6.76000
25785,2008-04-11,46406900,-0.007418,6.69000,6.70000
25785,2008-04-14,39536100,0.013453,6.78000,6.79000
25785,2008-04-15,44834200,0.014749,6.89000,6.90000
25785,2008-04-16,63454400,0.045058,7.16000,7.17000
25785,2008-04-17,64820100,0.009736,7.26000,7.27000
25785,2008-04-18,95216500,0.026171,7.45000,7.47000
25785,2008-04-21,75387200,0.037584,7.74000,7.75000
25785,2008-04-22,63320500,-0.010349,7.65000,7.66000
25785,2008-04-23,83817300,-0.016993,7.50000,7.51000
25785,2008-04-24,241783000,0.117021,8.38000,8.39000
25785,2008-04-25,227269700,-0.107143,7.50000,7.51000
25785,2008-04-28,170511600,0.094667,8.19000,8.20000
25785,2008-04-29,63074800,-0.010962,8.12000,8.13000
25785,2008-04-30,66520600,0.017241,8.28000,8.29000
25785,2008-05-01,63141500,0.026634,8.47000,8.48000
25785,2008-05-02,75412100,-0.024764,8.26000,8.27000
25785,2008-05-05,38431000,0.007255,8.34000,8.35000
25785,2008-05-06,37920900,-0.007203,8.26000,8.27000
25785,2008-05-07,58838300,-0.037485,7.96000,7.97000
25785,2008-05-08,48454700,0.030151,8.19000,8.20000
25785,2008-05-09,41043900,-0.012195,8.09000,8.10000
25785,2008-05-12,28658000,0.006173,8.14000,8.15000
25785,2008-05-13,38193200,0.009816,8.23000,8.24000
25785,2008-05-14,36193800,-0.010936,8.11000,8.12000
25785,2008-05-15,42721400,0.003685,8.14000,8.15000
25785,2008-05-16,41263300,-0.007344,8.09000,8.10000
25785,2008-05-19,36048400,-0.011097,8.00000,8.01000
25785,2008-05-20,43357100,-0.002494,7.99000,8.00000
25785,2008-05-21,43422900,-0.025000,7.81000,7.82000
25785,2008-05-22,106839400,-0.082051,7.15000,7.16000
