quarter_end,municipal_decline,pred_prob,pred_decline,RET_mean,RET_std,RET_max,abs_RET_mean,abs_RET_max,abs_exceed_sum,upper_exceed_sum,lower_exceed_sum,abs_extreme_score_mean,upper_extreme_score_mean,lower_extreme_score_mean,log_volume_mean,log_volume_std,log_volume_max,rel_spread_mean,rel_spread_max,days_in_quarter,high_spread_ratio,low_volume_ratio,high_volume_ratio,abs_exceed_ratio,upper_exceed_ratio,lower_exceed_ratio,abs_mean_excess,abs_max_excess,abs_es_q,abs_xi,abs_sigma,abs_threshold,upper_mean_excess,upper_max_excess,upper_es_q,upper_xi,upper_sigma,upper_threshold,lower_mean_excess,lower_max_excess,lower_es_q,lower_xi,lower_sigma,lower_threshold
1993-06-30,0,0.05572856866543445,0,0.0028922380952380953,0.017252240098321676,0.049536,0.01378347619047619,0.049536,0,2,0,0.0,0.01915019461782292,0.0,14.4533081832324,0.3727046628872961,15.513875045557942,0.005585811283043104,0.012658227848101266,63,0.0,0.031746031746031744,0.0,0.0,0.031746031746031744,0.0,0.009704450000000005,0.017434200000000004,0.060780649732002846,-1.8167151481332815,0.031672975235585266,0.03210179999999999,0.012158750000000001,0.020753999999999998,0.06319122372283774,-1.923602490019087,0.03992244607785613,0.028782,0.0025608500000000017,0.0086011,0.03858024827139871,0.853490963569781,0.0008984297853935018,0.023846899999999997
1993-09-30,0,0.04928200576653933,0,-0.0007417499999999999,0.01945513104800988,0.05042,0.015283125,0.05042,0,1,2,0.0,0.008822141470902843,0.019028375614795905,14.450036892511726,0.4204705847469729,15.875195848772528,0.005212747744277053,0.013531799729364006,64,0.0,0.03125,0.0,0.0,0.015625,0.03125,0.008631150000000002,0.013702650000000004,0.06158137451046969,-4.392036422832909,0.06018253788933139,0.036717349999999996,0.008946400000000002,0.022578650000000002,0.06339857351208604,-1.3519239694001868,0.03052461813169753,0.027841349999999997,0.00941430000000004,0.01694580000000004,0.05774590188471024,-1.2201003791803728,0.02067557700551481,0.03148719999999996
1993-12-31,0,0.041776949486349226,0,0.004480375,0.016581919789959033,0.051414,0.0130593125,0.051414,0,2,0,0.0,0.019777539831622032,0.0,14.588287464003267,0.5167498369082815,15.533749420967,0.005490102693067412,0.01455604075691412,64,0.0,0.0625,0.0,0.0,0.03125,0.0,0.008225700000000018,0.01883195000000002,0.06612159231667258,0.7276156922524009,0.0040061173518107715,0.03258204999999998,0.00850290000000003,0.019109150000000033,0.06356869104007085,-1.7477550892319285,0.033398114163396365,0.03230484999999997,0.0017538000000000284,0.003446300000000027,0.03188226538775988,-1.37834208437036,0.004750180325365609,0.02643869999999997
1994-03-31,0,0.11896401171349286,0,-0.00010196825396825387,0.016764013090611738,0.04086,0.01349047619047619,0.04086,0,1,0,0.0,0.014771657077978978,0.0,14.752333034189624,0.3772102798880836,15.865214410153195,0.0038114058363296365,0.009216589861751152,63,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.004344450000000007,0.009957200000000006,0.04689512370343893,-1.5387573435862536,0.015321714621557056,0.030902799999999994,0.006978800000000003,0.016032800000000003,0.050259976293473035,-1.4171907334463114,0.02272153559119803,0.024827199999999997,0.004303850000000003,0.009601100000000005,0.0406732066636874,-1.3695342406859639,0.013149035198250015,0.025522899999999998
1994-06-30,0,0.09607558738351332,0,-0.0009123225806451611,0.01757921516252365,0.040909,0.013903419354838709,0.040909,0,1,1,0.0,0.014967037974317072,0.01404486542367562,14.674323689638603,0.3564545692559841,15.496245724754498,0.0048635858946852895,0.012033694344163659,62,0.0,0.0,0.0,0.0,0.016129032258064516,0.016129032258064516,0.004900950000000004,0.009926200000000003,0.04678511481513717,-1.4508620305318751,0.014401546687465504,0.030982799999999998,0.003904550000000004,0.011717800000000004,0.050231219746224576,0.830766888830778,0.0015776282506567386,0.029191199999999997,0.0,0.0,0.0,1.7043151724368064,0.0005823756718752375,0.02802405
1994-09-30,0,0.05587368479808759,0,-0.0008774687499999999,0.01728305228496177,0.046272,0.01275359375,0.046272,0,3,1,0.0,0.03541287315783756,0.013136758069187012,14.536597302439345,0.4350819770097916,15.530497328318683,0.005022348678232549,0.009950248756218905,64,0.0,0.0625,0.0,0.0,0.046875,0.015625,0.004365000000000039,0.007059500000000038,0.05049658793040163,-1.4902006928913627,0.010520071791466634,0.03921249999999996,0.011907600000000011,0.01735010000000001,0.059599277201468376,-3.312916792241745,0.05747943763707354,0.02892189999999999,0.010003850000000003,0.017659100000000004,0.05147404150983975,-1.7704640657535013,0.03126480198354767,0.0225299
1994-12-31,0,0.047580083632638194,0,-0.0014,0.020713936600363317,0.054313,0.014902698412698413,0.08,2,1,2,0.019828978666135356,0.007516691454234724,0.014446949723849923,14.92941182832732,0.5455791590159488,16.73519302907802,0.004538239569273504,0.010221465076660987,63,0.0,0.015873015873015872,0.0,0.031746031746031744,0.015873015873015872,0.031746031746031744,0.016802300000000003,0.0430953,0.0969771799937536,-0.16529935745110452,0.019783496938052827,0.0369047,0.007242350000000005,0.021538600000000005,0.06250222129515787,0.4664327888470735,0.004369499967971536,0.032774399999999995,0.018063600000000003,0.051032100000000004,0.09955566656127776,0.3779462707173694,0.012164675313050467,0.028967899999999998
1995-03-31,0,0.10573793224780373,0,0.0009183968253968256,0.017297785936579622,0.040134,0.013196015873015873,0.049853,0,1,1,0.0,0.015417658815366638,0.008548245007493125,14.696977201712151,0.35306432282048644,15.635080052022687,0.004557058946101953,0.006666666666666667,63,0.0,0.0,0.0,0.0,0.015873015873015872,0.015873015873015872,0.00531185,0.0149001,0.05755714304027992,0.6531197179901633,0.002672415310456421,0.0349529,0.006881800000000004,0.013252300000000005,0.04789986302796933,-1.4154656414643874,0.01875817532037851,0.026881699999999998,0.012491200000000008,0.02697270000000001,0.06383031893808302,-1.0755605296595427,0.02901077149834796,0.022880299999999992
1995-06-30,0,0.08700366660109331,0,0.001254761904761905,0.016805609708314743,0.051429,0.012865904761904762,0.051429,0,1,0,0.0,0.00855155719349302,0.0,14.615486773273112,0.39274569244232843,16.004254946591928,0.004039640872562729,0.008415147265077139,63,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.007718649999999997,0.0194704,0.05951929838448175,-0.38388135682008123,0.011196013105395903,0.031958600000000004,0.007761149999999998,0.0195129,0.06282951714719727,-1.4053228692551802,0.02742192461548941,0.0319161,0.0034432500000000053,0.007723500000000005,0.0350985725854081,-1.2472106821950666,0.009632831703933604,0.023088499999999994
1995-09-30,0,0.0604462872823393,0,0.00020107936507936507,0.014456166539222234,0.038462,0.01133257142857143,0.038462,0,0,0,0.0,0.0,0.0,14.433097457527893,0.42308183215180284,15.492682256236222,0.0037003821800233516,0.010443864229765013,63,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.003800800000000005,0.009549300000000007,0.047133857653431054,-9.883108203451116,0.09437676516721583,0.028912699999999996,0.004731900000000002,0.012076900000000005,0.04330185735070599,-0.2636588157800643,0.006115928408337577,0.026385099999999998,0.005026650000000004,0.012345400000000006,0.041070537785682606,-1.9493087368651456,0.02406499608009498,0.020565599999999996
