quarter_end,RET_mean,RET_std,RET_max,abs_RET_mean,abs_RET_max,abs_exceed_sum,upper_exceed_sum,lower_exceed_sum,abs_extreme_score_mean,upper_extreme_score_mean,lower_extreme_score_mean,log_volume_mean,log_volume_std,log_volume_max,rel_spread_mean,rel_spread_max,days_in_quarter,high_spread_ratio,low_volume_ratio,high_volume_ratio,abs_exceed_ratio,upper_exceed_ratio,lower_exceed_ratio,abs_mean_excess,abs_max_excess,abs_es_q,abs_xi,abs_sigma,abs_threshold,upper_mean_excess,upper_max_excess,upper_es_q,upper_xi,upper_sigma,upper_threshold,lower_mean_excess,lower_max_excess,lower_es_q,lower_xi,lower_sigma,lower_threshold,municipal_decline,pred_prob,pred_decline
1996-09-30,-0.00111553125,0.01610422619378514,0.042553,0.01256378125,0.042553,0,1,1,0.0,0.013199104019146401,0.014431141199916463,14.447046515174279,0.3667747436659006,15.225424028847238,0.004096104987790657,0.010282776349614395,64,0.0,0.078125,0.0,0.0,0.015625,0.015625,0.0067806500000000035,0.011864400000000004,0.04913396313476637,-1.245583755920463,0.01477810391374275,0.030688599999999996,0.011690200000000005,0.020944450000000003,0.053607232092946364,-1.1176934822702498,0.02340947525473514,0.021608549999999997,0.0038130000000000048,0.011366500000000005,0.07680563220780853,0.9656329857423689,0.0013209522871010784,0.027002499999999995,0,0.18515834150562382,0
2002-09-30,-0.0042874687500000005,0.03157665664417949,0.083011,0.02515075,0.083011,5,3,8,0.03916073899663563,0.016035155895412,0.0631944170785246,15.426364789592956,0.3724162723399086,16.5530743175661,0.004025459562617317,0.010326155396045752,64,0.0,0.0,0.0,0.078125,0.046875,0.125,0.009177000000000074,0.015962000000000073,0.09417204201024248,-2.324753108453261,0.03710770911713113,0.06704899999999993,0.02273225,0.0456615,0.10951423779769504,-1.383384229625294,0.06316739900103538,0.0373495,0.014533800000000005,0.03255980000000001,0.1005311800351143,-1.2801587213151433,0.04168171193427682,0.0496912,0,0.17910206931079806,0
1993-06-30,0.0028922380952380953,0.017252240098321676,0.049536,0.01378347619047619,0.049536,0,2,0,0.0,0.01915019461782292,0.0,14.4533081832324,0.3727046628872961,15.513875045557942,0.005585811283043104,0.012658227848101266,63,0.0,0.031746031746031744,0.0,0.0,0.031746031746031744,0.0,0.009704450000000005,0.017434200000000004,0.060780649732002846,-1.8167151481332815,0.031672975235585266,0.03210179999999999,0.012158750000000001,0.020753999999999998,0.06319122372283774,-1.923602490019087,0.03992244607785613,0.028782,0.0025608500000000017,0.0086011,0.03858024827139871,0.853490963569781,0.0008984297853935018,0.023846899999999997,0,0.11235385309833,0
2008-06-30,-0.0070142187500000005,0.03625139908825797,0.09434,0.0295470625,0.107728,9,8,13,0.08930597429615952,0.07205328579710543,0.12027648241264524,16.88443412562871,0.40061010990080614,17.96223725407299,0.0011811971140809354,0.0034934497816594694,64,0.0,0.0,0.34375,0.140625,0.125,0.203125,0.02031395000000003,0.04466820000000003,0.13538751619202605,-1.6261996815449509,0.07263941261518624,0.06305979999999997,0.0,0.0,0.0,1.1262258524865818,0.002417793776300069,0.05521954999999998,0.01721515000000006,0.05045790000000006,0.12590043571362636,0.3448082008807547,0.01190643084958967,0.05727009999999994,0,0.4290132481227589,0
2007-09-30,7.995238095238087e-05,0.029615786312658498,0.100496,0.02234630158730159,0.100496,2,6,5,0.0077002641113472145,0.05052335014010186,0.05814171319225853,16.55904032585521,0.47511055949943043,18.029253605856024,0.0008041875115792653,0.005797101449275293,63,0.0,0.0,0.14285714285714285,0.031746031746031744,0.09523809523809523,0.07936507936507936,0.0,0.0,0.0,6.761463970297698,8.444543728967984e-06,0.0483198,0.0,0.0,0.0,2.6853865685418317,0.0011645762433223758,0.0480421,0.004856700000000002,0.0081612,0.05424739098808849,-2.671570502128641,0.021803221181972268,0.0401478,0,0.6484497468315917,1
2001-03-31,0.0007171612903225807,0.024037959480237896,0.054374,0.020402032258064515,0.054705,2,4,1,0.028165724944515323,0.04095823271338949,0.00714051383583155,14.946462557395366,0.32961851950750837,15.660099798927119,0.017054353619496584,0.0261875179202905,62,0.8225806451612904,0.0,0.0,0.03225806451612903,0.06451612903225806,0.016129032258064516,0.004193850000000025,0.007075350000000022,0.05913388254058934,-1.673507272813997,0.011840649682704553,0.047629649999999975,0.006889300000000034,0.012568800000000033,0.06250050638393614,-1.8293492250376415,0.022992724539653172,0.041805199999999966,0.0,0.0,0.0,1.628795994419169,0.00042983490971605664,0.033713199999999985,0,0.004880058303329502,0
1995-09-30,0.00020107936507936507,0.014456166539222234,0.038462,0.01133257142857143,0.038462,0,0,0,0.0,0.0,0.0,14.433097457527893,0.42308183215180284,15.492682256236222,0.0037003821800233516,0.010443864229765013,63,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.003800800000000005,0.009549300000000007,0.047133857653431054,-9.883108203451116,0.09437676516721583,0.028912699999999996,0.004731900000000002,0.012076900000000005,0.04330185735070599,-0.2636588157800643,0.006115928408337577,0.026385099999999998,0.005026650000000004,0.012345400000000006,0.041070537785682606,-1.9493087368651456,0.02406499608009498,0.020565599999999996,0,0.1271090235949892,0
2011-12-31,0.0006355714285714283,0.03364883041427811,0.085656,0.02548579365079365,0.109026,6,8,6,0.05119755886397741,0.08299430372632162,0.049877723127176206,16.23018266337684,0.40691206977338434,17.309536284649287,0.0004541390019858226,0.0007980845969672614,63,0.0,0.0,0.031746031746031744,0.09523809523809523,0.12698412698412698,0.09523809523809523,0.02823190000000001,0.04908090000000001,0.13485501577029269,-1.1108353850004455,0.05452080044766838,0.05994509999999999,0.014127550000000001,0.0378663,0.09982010241847403,0.0796791004800042,0.01303551947866337,0.0477897,0.032778049999999996,0.06558929999999999,0.15456492450745965,-2.271225520160567,0.14896809200946748,0.0434367,0,0.46629562444614847,0
1998-06-30,1.9634920634920558e-05,0.016450707910350363,0.039126,0.012938619047619048,0.039126,0,0,0,0.0,0.0,0.0,14.726925350151648,0.2839375619849769,15.472290348212006,0.010758618980881481,0.017781937295273748,63,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.003728900000000002,0.007789400000000002,0.04387369285550384,-1.5608645507160575,0.012158198331347663,0.0313366,0.005050200000000002,0.010216700000000002,0.04563299245391493,-1.7540445905990345,0.01792054736877316,0.0289093,0.0050769000000000005,0.011262400000000002,0.04003034381344815,-1.3630439002751498,0.015351145622458852,0.0222716,0,0.05045160840370297,0
1998-09-30,-0.002697703125,0.02300479068649645,0.053156,0.018320671875,0.053879,2,3,3,0.028518533471050912,0.030205414043137594,0.02496388906904972,14.735141580354702,0.3171794863674497,15.392652938726716,0.012510436534519115,0.020731042007637753,64,0.40625,0.0,0.0,0.03125,0.046875,0.046875,0.002767450000000003,0.005570700000000005,0.05731994992414569,-1.61565902175888,0.009000351712512202,0.0483083,0.011645150000000016,0.020294150000000018,0.06494474303487577,-1.386029273286343,0.028128285976464065,0.032861849999999984,0.011355900000000021,0.018549900000000022,0.06535014919107623,-1.6205047332101539,0.030060200750575073,0.03532909999999998,0,0.018682133988454253,0
