quarter_end,RET_mean,RET_max,abs_RET_mean,abs_RET_max,abs_exceed_sum,upper_exceed_sum,lower_exceed_sum,upper_extreme_score_mean,lower_extreme_score_mean,log_volume_mean,log_volume_std,log_volume_max,rel_spread_mean,rel_spread_max,days_in_quarter,high_spread_ratio,low_volume_ratio,high_volume_ratio,upper_exceed_ratio,abs_mean_excess,abs_max_excess,abs_var,abs_es_q,upper_mean_excess,upper_max_excess,upper_var,upper_es_q,lower_mean_excess,lower_max_excess,lower_var,lower_es_q,municipal_decline,pred_prob
1995-03-31,-0.0002895079365079364,0.042254,0.012244587301587301,0.042254,0,1,1,0.013078755569055718,0.01116824361390884,15.004115300885752,0.41739876917062524,16.074206561875247,0.00773142054200212,0.019704433497536946,63,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.24566677898084371,0.165028275707984,0.0032948000000000213,0.0032948000000000213,0.20080408553342113,0.15664382614111674,0.005033599999999999,0.005033599999999999,0.1644907268046905,0.13299501017398394,0,0.12416624487685388
1995-06-30,0.0019195079365079367,0.046083,0.012302746031746033,0.046083,0,1,0,0.010580587566909086,0.0,14.86836903845964,0.660318088319623,15.9682026775547,0.007497573878868187,0.014251781472684086,63,0.0,0.015873015873015872,0.0,0.015873015873015872,0.0,0.0,0.24566677898084371,0.165028275707984,0.00712380000000002,0.00712380000000002,0.20080408553342113,0.15664382614111674,0.0,0.0,0.1644907268046905,0.13299501017398394,0,0.09841508526680483
1995-09-30,0.0010595555555555553,0.04065,0.015061968253968253,0.04065,0,3,1,0.044413743724315335,0.014273532602428012,14.930365432789166,0.43588206701302745,15.94566909675428,0.0065677605191791265,0.016877637130801686,63,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.24566677898084371,0.165028275707984,0.0011841333333333533,0.00169080000000002,0.20080408553342113,0.15664382614111674,0.0014686000000000005,0.0014686000000000005,0.1644907268046905,0.13299501017398394,0,0.02782037402473073
1995-12-31,-0.000892968253968254,0.0625,0.010908460317460317,0.0625,1,1,0,0.004834358773687099,0.0,14.895239082089441,0.42021301661558913,15.927020008724263,0.006051001743284065,0.012903225806451613,63,0.0,0.0,0.0,0.015873015873015872,0.013394200000000009,0.013394200000000009,0.24566677898084371,0.165028275707984,0.02354080000000002,0.02354080000000002,0.20080408553342113,0.15664382614111674,0.0,0.0,0.1644907268046905,0.13299501017398394,0,0.08756142889918263
1996-03-31,0.003097984126984127,0.042308,0.013345634920634921,0.042308,0,2,0,0.027482513967471523,0.0,15.077684253253231,0.31169444943860325,15.569637731835286,0.0062851566894894986,0.013303769401330377,63,0.0,0.0,0.0,0.031746031746031744,0.0,0.0,0.24566677898084371,0.165028275707984,0.002465300000000021,0.00334880000000002,0.20080408553342113,0.15664382614111674,0.0,0.0,0.1644907268046905,0.13299501017398394,0,0.06837670457319171
1996-06-30,-0.0006971428571428571,0.035336,0.011395111111111111,0.035336,0,0,0,0.0,0.0,14.80527431182994,0.5742441754136435,15.850974219091636,0.006013982526496333,0.011214953271028037,63,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.24566677898084371,0.165028275707984,0.0,0.0,0.20080408553342113,0.15664382614111674,0.0,0.0,0.1644907268046905,0.13299501017398394,0,0.2109052818139019
1996-09-30,-0.0002411562499999999,0.057377,0.01138496875,0.057377,1,2,2,0.018679268680921,0.021788499209501738,14.620257360198828,0.45270394054432095,15.838183448072273,0.006325548237947331,0.011976047904191617,64,0.0,0.0,0.0,0.03125,0.008271200000000006,0.008271200000000006,0.24566677898084371,0.165028275707984,0.010964800000000021,0.01841780000000002,0.20080408553342113,0.15664382614111674,0.006626099999999999,0.0126316,0.1644907268046905,0.13299501017398394,0,0.03948495641845198
1996-12-31,0.000772859375,0.032787,0.009832828125,0.032787,0,0,0,0.0,0.0,14.66970172031588,0.3343059978643139,15.406683068964858,0.0064830999918758896,0.011881188118811881,64,0.0,0.015625,0.0,0.0,0.0,0.0,0.24566677898084371,0.165028275707984,0.0,0.0,0.20080408553342113,0.15664382614111674,0.0,0.0,0.1644907268046905,0.13299501017398394,0,0.18118317130993533
1997-03-31,-0.00018624590163934443,0.022388,0.009635721311475411,0.033962,0,0,0,0.0,0.0,14.761812969089217,0.32858759933388143,15.604700395180727,0.0064697608853938665,0.012024048096192385,61,0.0,0.0,0.0,0.0,0.0,0.0,0.24566677898084371,0.165028275707984,0.0,0.0,0.20080408553342113,0.15664382614111674,0.0,0.0,0.1644907268046905,0.13299501017398394,0,0.1982957051862468
1997-06-30,0.003306484375,0.048872,0.013109765625,0.048872,0,1,0,0.008996232947059275,0.0,14.793220395381814,0.40566555821310557,15.840377242604152,0.005637996547824636,0.013333333333333334,64,0.0,0.0,0.0,0.015625,0.0,0.0,0.24566677898084371,0.165028275707984,0.00991280000000002,0.00991280000000002,0.20080408553342113,0.15664382614111674,0.0,0.0,0.1644907268046905,0.13299501017398394,0,0.09702402883453984
1997-09-30,0.00298359375,0.037398,0.01351134375,0.037398,0,0,0,0.0,0.0,14.763557024577242,0.3069356653701119,15.59377977487044,0.0065223000904970916,0.015337423312883436,64,0.0,0.0,0.0,0.0,0.0,0.0,0.24566677898084371,0.165028275707984,0.0,0.0,0.20080408553342113,0.15664382614111674,0.0,0.0,0.1644907268046905,0.13299501017398394,0,0.19816503937535404
1997-12-31,0.0014958437499999998,0.060086,0.0153411875,0.060086,2,2,3,0.017939635843030988,0.02819025774506686,14.74317024377987,0.43601651306455264,15.794966142912617,0.007627845963937264,0.02482758620689655,64,0.015625,0.03125,0.0,0.03125,0.00718220000000001,0.01098020000000001,0.24566677898084371,0.165028275707984,0.012360300000000022,0.021126800000000022,0.20080408553342113,0.15664382614111674,0.0087186,0.0166146,0.1644907268046905,0.13299501017398394,0,0.04253906810353381
1998-03-31,0.00503972131147541,0.041436,0.015026409836065574,0.043767,0,1,1,0.014158313748680172,0.009585139672780806,14.854724081718734,0.3556548599061936,15.729930187355597,0.0072838213289440545,0.015424164524421594,61,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.24566677898084371,0.165028275707984,0.002476800000000022,0.002476800000000022,0.20080408553342113,0.15664382614111674,0.007891599999999999,0.007891599999999999,0.1644907268046905,0.13299501017398394,0,0.11001770043494016
1998-06-30,0.0055621111111111106,0.078014,0.016099222222222223,0.078014,3,4,0,0.03050885796565508,0.0,15.04077984213509,0.4547436354571027,16.31695478835774,0.005804207727034444,0.01634877384196185,63,0.0,0.0,0.0,0.06349206349206349,0.012448866666666676,0.02890820000000001,0.24566677898084371,0.165028275707984,0.017723550000000022,0.03905480000000002,0.20080408553342113,0.15664382614111674,0.0,0.0,0.1644907268046905,0.13299501017398394,0,0.01186558303573898
1998-09-30,-0.0029878593749999996,0.069264,0.024524734375,0.069264,8,6,9,0.046342319901325424,0.06503633523262414,14.792476771229163,0.3150005101077454,15.636812971702962,0.0066983029986473494,0.04299674267100977,64,0.03125,0.0,0.0,0.09375,0.009979575000000008,0.020158200000000015,0.24566677898084371,0.165028275707984,0.015019800000000022,0.030304800000000028,0.20080408553342113,0.15664382614111674,0.014408933333333334,0.028344599999999998,0.1644907268046905,0.13299501017398394,0,0.0023116190012155285
1998-12-31,0.00398853125,0.075988,0.020151625,0.078261,6,7,3,0.059039504341509466,0.013355534018781161,14.707525661986127,0.377008628205025,15.686974523832808,0.022432638466658793,0.04822695035460993,64,0.578125,0.0,0.0,0.109375,0.016080700000000007,0.029155200000000006,0.24566677898084371,0.165028275707984,0.01510580000000002,0.03702880000000002,0.20080408553342113,0.15664382614111674,0.025787599999999997,0.042385599999999996,0.1644907268046905,0.13299501017398394,0,0.00045635606093567344
1999-03-31,-0.00018613114754098377,0.051567,0.0190547868852459,0.051567,1,1,5,0.008240386801079268,0.06265802685588166,14.848759336374524,0.35050943528449474,15.851143879955128,0.02633086704506332,0.042283298097251586,61,0.6229508196721312,0.0,0.0,0.01639344262295082,0.0024612000000000106,0.0024612000000000106,0.24566677898084371,0.165028275707984,0.012607800000000023,0.012607800000000023,0.20080408553342113,0.15664382614111674,0.003930799999999998,0.0065676,0.1644907268046905,0.13299501017398394,0,0.03397868873841012
1999-06-30,0.0002656349206349206,0.053676,0.015649952380952382,0.053676,2,3,4,0.03232416206475393,0.04353817219345475,14.900981176104503,0.3478200831653166,15.834007246871716,0.016945243996272456,0.038695411829740185,63,0.23809523809523808,0.0,0.0,0.047619047619047616,0.0039667000000000105,0.00457020000000001,0.24566677898084371,0.165028275707984,0.007575800000000021,0.014716800000000023,0.20080408553342113,0.15664382614111674,0.006795099999999998,0.0165936,0.1644907268046905,0.13299501017398394,0,0.014760457398828199
1999-09-30,-0.0014959843750000001,0.037652,0.014769015625,0.067308,1,0,2,0.0,0.01404636872194629,14.801455238233066,0.3772011528601034,15.71964617564678,0.009468247252329452,0.017429193899782137,64,0.0,0.0,0.0,0.0,0.018202200000000016,0.018202200000000016,0.24566677898084371,0.165028275707984,0.0,0.0,0.20080408553342113,0.15664382614111674,0.0179581,0.031432600000000005,0.1644907268046905,0.13299501017398394,0,0.21090924857846635
1999-12-31,0.0012097031249999998,0.035891,0.012300359375,0.047114,0,0,3,0.0,0.0318658646297946,14.673565513203688,0.3892397473979396,15.605551885364958,0.01614908873569262,0.061855670103092786,64,0.203125,0.03125,0.0,0.0,0.0,0.0,0.24566677898084371,0.165028275707984,0.0,0.0,0.20080408553342113,0.15664382614111674,0.006353266666666665,0.011238600000000001,0.1644907268046905,0.13299501017398394,0,0.12229593960996919
